序号,类别,需求,建设阶段
1,首页,"呈现各总需求模块，牛散姓名（可以按照市值排序），搜索窗口（股东姓名，股票代码，输入后点击弹窗新窗口，呈现股票股东信息和K线；呈现股东在沪深京三个市场的持仓股票名称，持仓数量，股票数量发生变化的历史时间）；
网页右边，呈现编辑文章前10-20篇（点击更多）",一期
2,牛散,"1.呈现所有牛散的姓名
2.按照牛散资产排序
3.按照姓氏排序
4.点击姓名，进入可以看见持仓信息，如：股票名称 持股数量 至今涨幅（=上一季度股价均值*持仓数） 占总股本比例 持股变动 总市值（所有各持仓股*当前股价的市值总和） 报告期
5.在4的界面，可以点击股票，进入股票的个股界面
6.牛散的各股票持仓数，市值，持仓数占股本百分比
7.牛散新闻和个人信息介绍
8.管理员可以增减牛散姓名，及相关栏目，自动生产链接，可以进入本需求界面的需求1",一期
3,文章,呈现本公司所有关于财经金融文章，按日期排列，管理员可以编辑本页。（和序号1的网页文章关联）,一期
4,共同持仓,"1.呈现1+N牛散的持仓（股票名称 股票代码 持仓牛散数量 牛散名称 主营收入 总市值）
2.呈现持有该股的牛散姓名
3.点击牛散姓名，进入到序号3.4的需求界面",一期
5,牛散增持,"N-1季度对比N-2个季度（举例：当前为8月20日，第二季度和第一季度对比，发生变化）个人股东持股增加，个人股东当前持股数 
增持仓位（百分比） 收入构成 公司总市值(亿)    平均增持均价",一期
6,牛散减持,"股票对比上一个季度发生变化，（举例：当前为8月20日，第二季度和第一季度对比，发生变化；当第二季度持股数量变为0，加黄加粗高亮显示），个人股东当前持股数 
增持仓位（百分比） 收入构成 公司总市值(亿)    平均增持均价",一期
7,牛散新进,"股票对比上一个季度发生变化，（举例：当前为8月20日，第二季度和第一季度对比，第一季度数值为0时，判定为新增）
1+N个牛散新建仓  股票名称 股票代码 牛散新进数量 牛散名称 主营收入 总市值",一期
8,高管增持,股票名称 代码 高管增持金额 高管交易次数 主营收入 总市值（最近1-12月增持数据）；本页需求，可以参考序号5（牛散增持），可以编辑高管一些新闻。,一期
9,十大增持,最近一个季度，牛散增持市值排名前100,一期
10,个人股东,"1.牛散且单支持股（持仓市值按从高到低的）
2.机构且单支持股（持仓市值从高到低）",一期
11,巴菲特持仓,由管理员负责栏目内容，包括新闻,一期
12,木头姐持仓,由管理员负责栏目内容，包括新闻,一期
13,分红股息率最高,"1.过去1年股息率最高的前30只股票（股票代码，名称，股息率，分红金额）
2.过去3年平均股息率最高的前30只股票
3.计算公式：分红金额/分红日股价*100%，排序
（（N-3年)分红金额/分红日股价*100%+(n-2年）分红金额/分红日股价*100%+（N-1年）分红金额/分红日股价*100%））/3，排序",一期
